member_number,ssn,first_name,last_name,dob,address,city,state,zip,phone,join_date,checking_balance,savings_balance
799299,430-95-3594,JENNIFER,SMITH,1984-01-17,17426 VAUGHN ROUTE,MICHAELBURY,OH,29222,5725795687,2011-10-07,10227.19,1655.18
736986,265-49-7134,ANNE,BROWN,1976-10-31,822 BOND MILLS,LAKE JAMIESHIRE,OH,64572,2879072867,2021-10-13,7376.29,40650.74
257407,111-23-7410,BETH,WILLIAMS,1963-01-09,017 JUSTIN FALLS,PORT DARLENE,PA,96090,+186546766,2017-07-16,13872.32,25172.18
584000,783-84-6063,JENNIFER,COLEMAN,1965-05-21,75243 ANTONIO SHORE,MENDEZTOWN,PA,32045,211.890.79,2012-09-11,1269.49,40619.73
279391,836-50-9384,VICTORIA,YOUNG,2001-11-28,953 WALTER SHORE APT. 644,NEW STACYBURGH,OH,82551,+146897056,2012-10-04,7528.6,44796.09
457357,537-68-8231,STEVEN,BROWN,1967-08-28,826 JONATHAN ISLE APT. 751,NORTH JOSEPH,OH,88800,+129051398,2024-04-24,852.73,17842.44
276657,359-37-5632,HEATHER,PADILLA,1966-07-26,546 FERGUSON KNOLLS,JOSEHAVEN,OH,65680,217.653.55,2014-01-17,845.39,6653.36
330327,804-69-6001,ASHLEY,SANCHEZ,1977-01-14,7772 JACKSON STRAVE SUITE 280,PORT MELANIETON,WV,01337,9232120387,2018-07-15,10961.38,30183.65
731681,103-47-4911,JOSHUA,MADDEN,1940-10-04,11823 CHRISTINE GLEN SUITE 461,SUSANMOUTH,OH,74556,934.210.16,2020-04-08,1085.54,3446.51
866383,414-92-2882,MARK,MADDEN,2005-10-25,39740 GABRIELLE HARBORS,EAST SARAHMOUTH,WV,02553,892.761.42,2021-06-16,10301.03,21035.02
833157,167-44-3305,VINCENT,MCCANN,1943-03-31,15999 NOVAK ISLANDS APT. 477,WEST ANGELA,WV,49708,8297619431,2015-12-29,9732.4,36869.81
706215,824-26-7098,JOSEPH,ANDERSON,1952-05-03,886 ANTHONY KNOLL APT. 995,SMITHCHESTER,OH,51330,0014183398,2022-05-03,1122.31,36014.16
791641,410-24-2046,MICHAEL,RAYMOND,1988-08-12,937 DEREK AVE SUITE 596,SCOTTCHESTER,WV,85833,+192455937,2024-07-29,14843.34,19732.52
208606,443-27-2266,JAMES,OSBORN,1951-10-30,737 GUERRA CLIFF,CHAMBERSBERG,PA,83513,8342266179,2024-04-24,7936.86,680.66
936144,601-36-7050,DANIEL,WRIGHT,1984-10-17,909 RASMUSSEN ISLE,RODRIGUEZVILLE,PA,34414,888.989.93,2015-01-10,9913.31,12715.26
856578,336-64-1127,SAMANTHA,MILLER,1996-02-15,4573 BAILEY COURT,BOWENMOUTH,WV,42301,4404105123,2020-01-16,11282.18,22684.12
743996,332-78-7725,JACOB,SANDOVAL,1966-06-30,9660 JAMIE TERRACE,NEW CRISTIANSIDE,OH,25006,8533714785,2022-10-20,14673.87,12953.52
243167,448-24-3195,JANICE,EVANS,1981-05-18,251 KEVIN FALLS,HEATHERHAVEN,WV,51417,4924966278,2024-11-15,4039.68,23339.67
380610,152-15-2254,TODD,LEE,1965-09-14,7677 CHRISTOPHER BURGS APT. 404,NEW KEITH,PA,60443,0017782819,2021-08-20,9476.77,29654.91
529808,530-19-2693,DESIREE,WRIGHT,1999-01-30,4517 KIMBERLY FREEWAY,PORT JOAN,OH,90827,6964292330,2014-08-09,10476.09,25826.51
249622,120-10-8453,MICHELE,DUKE,1985-10-14,60422 DUSTIN ISLANDS,PORT MEGAN,OH,51973,929.946.67,2020-07-22,5888.06,36750.19
166022,329-93-8950,MICHAEL,BROWN,1975-12-08,3745 MORGAN PORTS,NEW MELISSA,PA,45555,+160041701,2016-03-04,10098.72,27360.8
186729,435-63-1807,REBECCA,MARTIN,1966-07-18,361 AARON NECK APT. 293,SMITHMOUTH,PA,16307,4274136111,2013-01-21,4749.13,21538.4
384000,526-62-9622,MICHAEL,LEWIS,1990-06-23,731 DONALD CROSSING SUITE 565,EAST JOSHUA,PA,11543,589.899.40,2012-04-14,3768.65,11413.06
239175,885-97-1963,VICTOR,WHEELER,1975-07-09,5269 DIAZ SPRINGS,PORT THOMAS,OH,10068,6918043006,2018-08-23,7046.87,44766.85
964983,177-37-1729,CHRISTINA,RAMIREZ,1960-09-01,85691 HALE STREAM,NORTH JOHN,WV,57449,4792904210,2022-05-04,6211.84,49354.29
307932,540-19-7623,JENNIFER,JACKSON,1948-03-23,105 NELSON CIRCLES SUITE 917,DIXONTON,OH,65985,0012252241,2024-05-25,3517.09,5468.43
160916,556-60-4086,HAROLD,HORNE,1941-12-31,53654 ASHLEY CREST APT. 238,SOUTH CASEYMOUTH,OH,37503,0019457187,2021-08-01,4661.83,7805.92
851988,132-31-3481,AMY,FLYNN,1949-10-31,38505 KATHERINE LANE SUITE 138,SOUTH TRAVIS,OH,08351,3413038657,2019-02-11,688.42,47339.03
383348,848-91-4052,RYAN,BRANDT,1955-09-11,6557 HALL FLATS APT. 912,EAST SHANNONMOUTH,OH,53783,3854374741,2023-02-19,7012.12,43703.99
711070,523-24-7958,MARK,DAVIS,1956-06-22,8044 ANTHONY LODGE SUITE 883,SOUTH CURTISBERG,WV,16420,6033236519,2017-03-31,14523.86,46326.76
344909,503-94-2909,DAVID,STEIN,1995-12-28,07029 UNDERWOOD LOCKS SUITE 066,WEST JASON,WV,25031,9472209993,2020-03-27,10103.77,36101.03
403974,821-68-8487,LAURA,WRIGHT,2007-03-12,5787 DURHAM PARKWAY,PAULBURGH,PA,03917,5936040785,2023-04-18,1127.82,10560.94
520618,511-92-8597,LAURA,KELLY,1996-08-29,39559 JADE KNOLL,NEW STACY,PA,65018,+154227010,2022-09-10,10376.52,21659.59
272609,847-51-4591,MATTHEW,THOMPSON,1994-02-27,02921 YU LANDING SUITE 915,MARCUSBURGH,WV,96491,4752289539,2011-01-30,3446.42,24456.23
780476,590-64-5843,CARRIE,MCCALL,2005-05-21,917 MARK CLUB,WEST TONI,PA,22506,+121587043,2017-12-28,11509.08,28712.81
938870,350-80-6701,NICHOLAS,PAYNE,1946-06-29,327 LAUREN BYPASS SUITE 054,NORTH MATTHEWFURT,PA,21591,0014182159,2021-01-19,14847.01,10502.83
308694,541-14-6355,JENNIFER,BLAIR,1957-08-19,3106 HERNANDEZ LAKE APT. 614,GONZALEZTOWN,OH,27626,6413714677,2013-05-24,2810.25,40511.28
972057,408-93-9459,BRADLEY,GONZALES,1957-07-04,021 ELIZABETH VALLEY SUITE 938,PORT PAULHAVEN,WV,55371,+147933741,2022-09-21,4621.9,45349.82
236756,214-88-8042,DAVID,HENDERSON,2006-10-18,29451 PAUL LOCKS SUITE 487,PORT ISABELLASHIRE,WV,68994,7168229991,2017-09-09,1068.58,10317.27
827705,542-41-4689,GERALD,POWELL,1981-08-20,65307 PRINCE BROOKS SUITE 444,GARRISONVILLE,PA,30379,9475546913,2023-08-09,2046.59,23324.31
742016,584-63-9565,LORI,ROBERTSON,1950-05-28,862 GLENN WELLS APT. 030,WILLIAMSSTAD,WV,92858,745.978.61,2018-11-12,11557.21,29235.95
943780,135-47-3480,MAX,MONROE,1957-03-08,0602 MERCEDES RUE,LAKE JAMIE,WV,85905,8808072290,2020-10-02,13603.71,17646.95
634675,125-74-8830,MADISON,SANDERS,1946-07-21,994 COHEN ORCHARD APT. 545,JOSEPORT,PA,25189,9836096520,2011-02-15,5068.23,28069.72
420356,721-12-9026,JEAN,ARMSTRONG,1952-07-04,875 BRUCE VILLE,WEST CONNOR,WV,17270,0016486251,2023-08-04,3224.1,32101.97
372621,353-16-8397,BRANDY,BLACKBURN,1944-06-08,168 GUTIERREZ WAYS,EAST VICTORIA,WV,45415,6975252175,2012-07-15,2398.08,17878.47
168592,478-79-9438,RYAN,JORDAN,1968-10-07,0083 DODSON ISLANDS APT. 003,LAKE NATALIE,OH,41407,6166894210,2015-08-30,13080.69,7377.11
247003,888-18-8076,PAMELA,COWAN,1962-11-25,3260 JEFFREY CURVE APT. 098,NORTH MICHAEL,PA,85768,2642890901,2014-05-21,14372.15,18938.97
124385,228-34-5297,JACQUELINE,HARRIS,1986-03-23,6184 ROBERT COVE,WEST DANIELVILLE,WV,65740,493.248.35,2015-07-22,13399.38,23014.31
965473,882-26-4562,AARON,POWERS,2001-04-06,18114 STEPHEN HILL SUITE 701,PORT BENJAMIN,WV,38586,6563110022,2016-08-06,4555.67,46746.71
912504,139-84-5299,STEPHEN,HOUSTON,1986-07-05,2120 DALE RAMP SUITE 972,MAXWELLTOWN,OH,90215,0015277716,2015-10-13,8105.67,26654.67
715852,374-68-6132,ERICA,CRUZ,1996-08-25,28772 KAREN ISLANDS,WEST TARA,WV,07100,738.366.31,2016-08-24,5478.4,18997.59
634764,619-19-9178,BARRY,DUNN,1995-10-04,837 COX CENTER APT. 758,MORANSTAD,WV,94337,211.430.55,2021-06-02,10280.16,48837.58
334642,224-66-6433,DANIEL,CARR,1952-05-07,73516 SARA VILLAGES APT. 779,SOUTH ADAM,WV,96998,4863978292,2018-02-27,2354.89,8827.72
856392,191-50-7147,PATRICK,PETTY,2001-11-16,6547 DEVON RAPIDS,MEGANSIDE,PA,41645,0017833339,2021-03-31,9965.1,38999.73
864036,635-28-9865,EMILY,ENGLISH,1975-11-25,81062 ELLEN FLATS SUITE 244,PORT BRYAN,PA,39185,880.557.19,2016-11-04,1062.98,34791.27
918303,747-39-7282,KRISTIN,JENNINGS,2005-04-09,43973 FISCHER PLAINS,PORT JENNY,OH,25863,6724122816,2017-08-04,14498.81,26683.95
451673,141-69-1848,SHARON,WILLIAMS,2002-09-28,947 JONES STATION,ALICIABURGH,WV,68737,5825688615,2018-07-21,4025.66,5950.16
363762,381-28-7396,WENDY,COLON,2006-04-24,57399 SUSAN SPRINGS,PATRICKVILLE,OH,51078,5847085887,2018-08-05,5633.97,14654.64
816673,731-83-8829,COURTNEY,CLARK,1982-05-27,613 LUCAS CLIFFS,NORTH STEPHEN,OH,43979,5116024819,2017-02-02,8480.49,22086.95
490506,425-77-6940,ANDRE,NUNEZ,1975-12-18,901 REILLY COVES,KRISTINPORT,OH,80004,5474660728,2024-12-30,523.37,17683.63
118265,337-46-6579,DOUGLAS,BYRD,2001-10-04,88210 ASHLEY LOCK APT. 435,SOUTH REBECCA,WV,67682,2229394312,2013-07-22,5805.03,24701.86
191351,109-29-6576,BEVERLY,LYNN,1963-11-18,49135 HAYES RIDGES,HEATHERBERG,OH,74629,0018556620,2017-04-11,2745.31,4025.37
964462,484-70-5097,KIM,TUCKER,1946-12-30,2834 JESSICA BROOK,PORT BONNIEFURT,WV,77838,808.548.87,2016-07-18,5394.66,34093.97
341606,338-90-7877,WAYNE,BATES,1997-04-04,272 ASHLEY PORT,LAKE JESSICA,OH,47529,5377314530,2011-03-12,1503.3,34068.3
466281,120-51-4551,DEBORAH,GARCIA,2005-06-13,498 NICHOLAS LANE SUITE 918,NICHOLASBURY,PA,68182,6555779082,2022-11-07,14715.43,84.64
632661,137-22-7197,DONNA,PERRY,1962-01-18,7739 DEBORAH LOOP,EAST BRADLEYSHIRE,OH,78141,4288092024,2024-10-21,7285.6,17095.37
574754,448-78-7245,JAY,OBRIEN,1971-08-26,36929 CINDY PASS SUITE 257,EAST NICHOLASBERG,OH,14731,9382862912,2018-09-07,4591.41,5313.94
749676,727-48-1270,AARON,PACE,1985-09-26,650 PEREZ UNIONS SUITE 659,SOUTH DENNISFORT,PA,30976,3492864300,2016-09-23,5879.8,23292.33
271650,346-72-3303,DANIEL,SIMMONS,1979-05-26,695 BRAUN LOCKS APT. 688,WHITESIDE,PA,73234,844.795.62,2022-08-30,3959.94,43377.68
840978,149-59-6534,MADELINE,RUIZ,1980-05-30,43519 JENNY LOCKS,JENNIFERTON,OH,23474,+147720384,2025-07-19,6789.28,28379.05
397218,809-92-3865,KIMBERLY,GOMEZ,1966-06-19,011 BARBER POINTS,MICHAELVIEW,PA,30162,+133766904,2022-10-17,1825.93,21125.64
185226,797-78-2753,BAILEY,BENSON,2005-04-14,57790 WILSON CLIFF SUITE 335,MOSESHAVEN,OH,70709,4439416518,2024-10-20,2087.11,9255.29
600551,180-67-9379,FELICIA,BROWNING,1973-07-11,34333 MARY KNOLLS,PORT DANIEL,OH,10788,+147960807,2011-05-29,13069.99,42470.64
924916,275-65-8136,LAUREN,MENDOZA,1976-05-14,2718 STEWART BRANCH APT. 369,WEST MICHAELVIEW,OH,25031,+194384795,2023-05-30,7715.76,36520.11
283332,269-73-1997,JOSHUA,WHITE,1948-07-06,43866 DUSTIN STS,SOUTH LINDA,WV,23649,4722885744,2012-01-15,2363.91,12578.13
846959,889-91-2374,JULIE,GREEN,1964-02-04,0615 BARBARA RUN APT. 455,HAMPTONMOUTH,WV,10778,4947722569,2014-08-10,5349.9,17924.42
578459,183-56-7120,DEANNA,NELSON,1969-11-05,987 JACKSON WALK APT. 234,EAST GARRETTVILLE,OH,13025,6784006811,2014-01-13,10881.76,31162.08
885186,737-62-7568,JOAN,RAMOS,1948-03-10,05577 DUNN DALE,NEW CARLA,PA,83213,0017968884,2022-10-29,14723.97,30208.52
967445,824-41-7253,MELANIE,COOPER,1971-07-02,774 KATIE UNION,CARLATOWN,WV,72356,3368866326,2022-09-16,3579.69,37880.52
195320,494-16-6183,GAIL,MITCHELL,1990-02-11,3122 RODRIGUEZ MOTORWAY SUITE 497,WEST ANDREW,WV,07006,+150231442,2015-04-09,2322.45,45945.26
855293,440-38-2174,LAUREN,BOLTON,1971-02-15,1204 JONES MOUNTAINS,EAST PAULA,WV,33279,9018367303,2024-08-28,954.67,20582.76
324225,472-53-3558,ABIGAIL,KING,1983-01-05,0313 NGUYEN EXPRESSWAY,BRENDAFURT,OH,32363,4099792513,2011-07-01,9110.45,38476.55
244068,437-50-3369,MICHAEL,MOORE,1976-01-25,73585 QUINN BROOKS,HOWARDBERG,OH,33360,4777848739,2012-12-31,2556.54,27103.46
362418,701-10-5102,AMANDA,COLE,1995-04-25,0862 CHRISTINE LAKES APT. 518,LEEFORT,OH,72782,3942565118,2017-11-16,2762.02,2803.45
565320,144-77-9701,COREY,DUNCAN,1996-06-18,994 MICHAEL REST APT. 037,SOUTH LAURIETON,WV,47808,+166530948,2014-01-22,8030.82,39569.76
340758,657-69-7545,PAUL,LEE,1984-04-05,861 CRAIG SQUARES,ANDRADEBURGH,PA,24145,+176875289,2014-03-16,9917.0,6779.9
681751,672-58-4859,AMY,BROOKS,1977-01-04,7760 TONYA RANCH APT. 824,WEST TRACEYBOROUGH,OH,41776,2489889921,2014-05-05,2285.62,11039.88
901230,737-91-1619,JONATHAN,EVANS,1978-05-22,157 TRACY SPURS,NEW DAWNTON,PA,96287,0015612055,2015-05-21,8193.44,29998.79
226418,869-49-6599,ANNETTE,MURPHY,1987-01-16,67998 JEFFREY HIGHWAY,HERNANDEZMOUTH,PA,11320,590.986.41,2019-11-02,5269.47,48253.51
161991,735-73-8258,JILL,SANCHEZ,1944-06-19,9116 DIAZ FIELD SUITE 590,GARYSTAD,WV,81270,592.470.33,2017-08-30,1655.87,44828.15
811076,447-78-2546,MARTIN,SINGH,1954-01-01,792 NICHOLAS SHORE APT. 420,JAMESVIEW,OH,07458,301.764.51,2013-05-23,12434.85,6824.86
164319,895-12-8361,VINCENT,ELLIS,2002-08-02,38457 GARNER BROOK,GABRIELLESTAD,OH,82451,8384404608,2019-10-13,9259.81,20535.29
310459,862-71-9066,CONNIE,PEREZ,1955-12-09,4957 JAMIE DAM,PORT DEVIN,PA,90748,0014827629,2025-01-05,2827.13,5251.51
190567,684-78-9831,KEVIN,REESE,1995-06-21,31220 OBRIEN RIDGE APT. 933,WEST CHRISTOPHERFORT,WV,18076,297.652.67,2021-12-17,8205.78,19210.41
423976,388-78-8027,CARL,HO,2006-08-14,573 SULLIVAN CANYON SUITE 569,NEW DANIELMOUTH,WV,06060,588.660.86,2017-07-07,7565.66,25797.12
440033,472-93-8596,ROBERTO,AUSTIN,1943-04-21,7181 KIMBERLY SQUARE,SOUTH ROBERT,PA,59599,4273937145,2011-11-16,13751.12,15325.47
530963,237-69-3411,JASMINE,ACOSTA,2005-11-27,8602 CUNNINGHAM SHOALS,EAST MISTY,OH,23945,0012069447,2019-09-19,11902.39,7012.07
585558,499-56-4442,TREVOR,ROBINSON,1984-06-09,7199 JOHN PLAZA SUITE 983,EAST EDDIESTAD,WV,05314,8094945101,2021-02-03,5165.99,42185.02
962653,432-94-1786,ASHLEY,HART,2005-04-20,14556 KATHERINE VILLE APT. 472,LAKE MICHELEMOUTH,PA,69582,7836390198,2018-05-23,14420.02,21249.36
187180,245-72-4453,CRYSTAL,VASQUEZ,1951-10-30,430 ANDREW ROAD,LAKE MELANIECHESTER,PA,54770,3556830344,2020-11-18,945.18,937.23
940456,544-87-4216,MATTHEW,RAMSEY,1981-06-25,35577 DEBBIE ORCHARD,LAKE STEVEN,PA,70882,7763084958,2019-12-29,9614.21,6060.2
103975,420-84-8045,MEGAN,DUNCAN,1966-01-31,5046 TYLER FREEWAY,SHANNONPORT,PA,28830,542.715.03,2022-03-25,4706.18,21960.11
220592,477-21-9608,DOUGLAS,WIGGINS,1995-07-02,07681 LARRY CAPE,WEST STEVENTON,WV,14014,340.694.35,2018-12-28,2062.26,31868.73
651977,703-97-2255,CURTIS,DANIELS,1976-12-13,49321 AUSTIN JUNCTION SUITE 020,BERGERTON,PA,14385,5013662997,2017-08-14,6533.07,5886.25
487866,130-39-1474,STANLEY,COHEN,1987-11-21,3329 DURHAM LOCK APT. 557,JOHNSONFORT,PA,15297,3777245992,2019-06-15,13305.11,11316.72
